   Step          Temp          PotEng         KinEng         TotEng         Press     
     88000   1178.9098     -2775.7176      130.29007     -2645.4276     -2609.2145    
     89000   1164.5473     -2771.0258      128.70277     -2642.323      -1790.9805    
     90000   1184.2651     -2769.9766      130.88193     -2639.0947      548.28324    
     91000   1201.0473     -2771.445       132.73666     -2638.7084     -149.55688    
     92000   1232.7477     -2775.5169      136.2401      -2639.2768      517.83446    
     93000   1179.4355     -2777.3851      130.34817     -2647.0369     -3124.144     
     94000   1164.027      -2775.8405      128.64527     -2647.1952     -1165.9859    
     95000   1191.6239     -2771.4798      131.6952      -2639.7846     -1842.5435    
     96000   1177.5764     -2773.6901      130.14271     -2643.5474     -1331.6324    
     97000   1201.6376     -2769.446       132.8019      -2636.6441      1497.3343    
     98000   1123.6183     -2772.2561      124.17941     -2648.0767      285.85293    
     99000   1145.3201     -2775.2817      126.57782     -2648.7039      1038.3807    
    100000   1137.0402     -2775.8026      125.66275     -2650.1399     -1144.3326    
    101000   1173.4413     -2772.3026      129.68571     -2642.6169     -1862.345     
    102000   1139.494      -2768.5541      125.93394     -2642.6201      132.63078    
    103000   1165.8558     -2771.5339      128.84738     -2642.6865     -254.44301    
    104000   1200.3416     -2769.0094      132.65866     -2636.3507      1513.6833    
    105000   1178.211      -2774.0293      130.21284     -2643.8164     -321.59056    
    106000   1241.4338     -2769.3665      137.20007     -2632.1664      1124.6973    
    107000   1163.3697     -2774.2956      128.57263     -2645.7229     -671.64287    
    108000   1166.2447     -2766.0044      128.89036     -2637.1141      156.64406    
    109000   1198.3314     -2764.6311      132.4365      -2632.1946      933.27436    
    110000   1221.5215     -2774.3406      134.99941     -2639.3412      525.67428    
    111000   1169.2546     -2775.6511      129.223       -2646.4281     -3031.0852    
    112000   1116.6871     -2779.9121      123.41338     -2656.4988     -4016.6627    
    113000   1202.7777     -2773.4132      132.92789     -2640.4853      442.44491    
    114000   1162.5376     -2776.4685      128.48066     -2647.9879     -2473.1347    
    115000   1146.4301     -2767.7476      126.7005      -2641.0471     -700.51121    
    116000   1177.4925     -2772.2014      130.13344     -2642.0679      462.06083    
    117000   1170.8625     -2775.86        129.4007      -2646.4593     -1128.7538    
    118000   1191.2416     -2770.9447      131.65295     -2639.2918     -395.13866    
    119000   1192.2745     -2774.2316      131.76711     -2642.4645     -664.88155    
    120000   1168.4273     -2772.0272      129.13157     -2642.8956     -70.549227    
    121000   1204.7287     -2776.2743      133.14351     -2643.1307     -2120.7841    
    122000   1182.5514     -2771.7934      130.69254     -2641.1009      862.42214    
    123000   1214.7906     -2773.5742      134.25552     -2639.3187     -887.13748    
    124000   1183.9328     -2773.3573      130.84521     -2642.512       395.57096    
    125000   1156.705      -2773.8924      127.83606     -2646.0563      204.59342    
    126000   1174.0944     -2773.8564      129.75789     -2644.0985      530.07445    
    127000   1131.2087     -2767.4529      125.01827     -2642.4346      1505.9883    
    128000   1161.7911     -2770.1921      128.39816     -2641.7939     -611.32562    
    129000   1199.2192     -2775.7497      132.53462     -2643.2151     -12.607964    
    130000   1186.5418     -2767.9966      131.13354     -2636.863       1510.4608    
    131000   1123.6532     -2772.8627      124.18326     -2648.6794     -2719.1245    
    132000   1168.8249     -2770.5688      129.17552     -2641.3933      326.46701    
    133000   1152.5353     -2762.4139      127.37523     -2635.0386      3437.1432    
    134000   1187.7014     -2776.7096      131.2617      -2645.4479     -3069.9993    
    135000   1229.2872     -2769.909       135.85765     -2634.0514      310.45395    
    136000   1126.7891     -2770.0758      124.52983     -2645.546       396.55881    
    137000   1167.1844     -2770.8288      128.99421     -2641.8346     -549.84686    
    138000   1133.7436     -2770.8012      125.29842     -2645.5028     -1705.2569    
    139000   1197.5859     -2777.1447      132.35411     -2644.7906     -1407.3783    
    140000   1214.7044     -2773.503       134.246       -2639.257       396.69446    
    141000   1168.2051     -2773.0079      129.10702     -2643.9009     -255.82903    
    142000   1180.41       -2774.9562      130.45587     -2644.5003     -1493.9586    
    143000   1205.0028     -2775.2348      133.1738      -2642.061      -1574.6135    
    144000   1165.0458     -2766.6389      128.75786     -2637.881       613.9987     
    145000   1139.3188     -2777.3259      125.91458     -2651.4113     -2405.1243    
    146000   1150.5985     -2770.9845      127.16118     -2643.8233     -1037.5018    
    147000   1187.3211     -2761.6437      131.21967     -2630.424       2798.1609    
    148000   1179.6696     -2771.2868      130.37405     -2640.9127     -1319.2802    
    149000   1148.3162     -2766.9574      126.90895     -2640.0485      1648.4687    
    150000   1208.0997     -2761.0369      133.51607     -2627.5208      4769.7917    
    151000   1156.4931     -2775.7534      127.81264     -2647.9408     -573.51742    
    152000   1143.1539     -2776.8909      126.33843     -2650.5525     -668.60032    
    153000   1227.2616     -2774.6325      135.63379     -2638.9987     -163.90442    
    154000   1190.486      -2778.1449      131.56945     -2646.5754     -1656.0606    
    155000   1188.0395     -2771.2805      131.29907     -2639.9814     -1974.5727    
    156000   1166.0628     -2778.5827      128.87026     -2649.7124     -3878.6097    
    157000   1163.9773     -2769.3847      128.63977     -2640.7449      225.39108    
    158000   1210.5825     -2775.705       133.79046     -2641.9146      707.45899    
    159000   1155.778      -2775.6571      127.73361     -2647.9235     -1413.4753    
    160000   1134.2847     -2775.8604      125.35822     -2650.5022     -2357.0916    
    161000   1187.2625     -2770.8769      131.21319     -2639.6637     -1697.1565    
    162000   1103.2474     -2769.8657      121.92806     -2647.9376      1075.5616    
    163000   1189.3835     -2771.4782      131.4476      -2640.0306     -40.977013    
    164000   1154.9188     -2772.9269      127.63865     -2645.2883     -933.70237    
    165000   1178.8276     -2761.5486      130.28099     -2631.2676      4198.4897    
    166000   1191.7803     -2774.2642      131.71249     -2642.5518     -1831.892     
    167000   1151.812      -2770.3126      127.2953      -2643.0173     -604.36688    
    168000   1199.9935     -2775.3345      132.62019     -2642.7143     -2051.4357    
    169000   1127.9964     -2768.2568      124.66326     -2643.5935      701.16857    
    170000   1157.3555     -2772.8263      127.90795     -2644.9184     -1046.8918    
    171000   1235.3546     -2774.0779      136.5282      -2637.5497     -442.18187    
    172000   1170.125      -2767.946       129.3192      -2638.6268     -772.67261    
    173000   1181.0273     -2772.7835      130.52409     -2642.2594     -1413.4419    
    174000   1169.2123     -2771.8002      129.21833     -2642.5819     -222.4187     
    175000   1179.4295     -2773.5441      130.34751     -2643.1966     -323.18046    
    176000   1147.4962     -2772.531       126.81832     -2645.7127     -351.34079    
    177000   1085.7791     -2778.0158      119.99751     -2658.0183     -1926.4717    
    178000   1163.7063     -2768.3702      128.60982     -2639.7604      246.25846    
    179000   1135.5485     -2771.8241      125.4979      -2646.3262      540.48958    
    180000   1177.7692     -2762.3722      130.16401     -2632.2082      3142.8037    
    181000   1141.6883     -2778.7277      126.17645     -2652.5513     -2903.712     
    182000   1192.1002     -2761.8052      131.74785     -2630.0573      3109.2475    
    183000   1198.1308     -2776.4796      132.41433     -2644.0652     -1357.3942    
    184000   1248.296      -2770.7911      137.95846     -2632.8327      1462.7359    
