   Step          Temp          PotEng         KinEng         TotEng         Press     
       910   1164.0067     -2778.6053      128.64303     -2649.9623     -1082.4444    
       920   1165.1485     -2778.549       128.76921     -2649.7798     -1045.6423    
       930   1165.2548     -2778.2314      128.78095     -2649.4505     -1204.5436    
       940   1167.9447     -2778.1761      129.07824     -2649.0978     -1366.6607    
       950   1174.2161     -2778.4145      129.77133     -2648.6432     -1645.2961    
       960   1183.5786     -2778.9603      130.80605     -2648.1542     -1897.4917    
       970   1194.7988     -2779.6747      132.04608     -2647.6286     -2157.1576    
       980   1206.1319     -2780.2778      133.29859     -2646.9792     -2383.5552    
       990   1214.9282     -2780.6449      134.27074     -2646.3742     -2547.0996    
      1000   1219.4228     -2780.4867      134.76747     -2645.7192     -2548.6175    
      1010   1219.0765     -2779.8739      134.7292      -2645.1447     -2346.2439    
      1020   1214.6216     -2778.8034      134.23685     -2644.5665     -1947.9631    
      1030   1207.9741     -2777.4952      133.50219     -2643.993      -1417.8017    
      1040   1199.5033     -2775.9873      132.56601     -2643.4213     -887.70778    
      1050   1189.7608     -2774.3532      131.4893      -2642.8639     -360.17569    
      1060   1182.053      -2773.0036      130.63745     -2642.3662      67.500554    
      1070   1179.4113     -2772.2219      130.3455      -2641.8764      271.98879    
      1080   1183.6429     -2772.1386      130.81316     -2641.3255      277.22762    
      1090   1193.7519     -2772.7192      131.93038     -2640.7888      28.063772    
      1100   1206.0109     -2773.5399      133.28521     -2640.2547     -412.30143    
      1110   1214.9144     -2774.0496      134.26921     -2639.7804     -856.00598    
      1120   1216.1795     -2773.7761      134.40902     -2639.367      -956.95534    
      1130   1209.8334     -2772.6813      133.70767     -2638.9736     -721.09408    
      1140   1199.4666     -2771.2639      132.56195     -2638.7019     -285.22143    
      1150   1190.7671     -2770.0462      131.60051     -2638.4457      109.49093    
      1160   1186.6063     -2769.3144      131.14067     -2638.1737      282.93193    
      1170   1185.489      -2769.0921      131.01719     -2638.075       205.04587    
      1180   1186.7583     -2769.0609      131.15747     -2637.9035      7.9863048    
      1190   1191.3392     -2769.4105      131.66374     -2637.7467     -185.42105    
      1200   1198.9041     -2770.1011      132.4998      -2637.6013     -306.36601    
      1210   1206.9273     -2770.9015      133.3865      -2637.515      -273.07973    
      1220   1211.8645     -2771.4304      133.93214     -2637.4983     -191.23078    
      1230   1213.8666     -2771.7205      134.15341     -2637.5671     -130.45281    
      1240   1217.0171     -2772.3165      134.5016      -2637.8149     -197.59166    
      1250   1223.8749     -2773.3513      135.2595      -2638.0918     -616.78992    
      1260   1233.0629     -2774.8656      136.27493     -2638.5907     -1269.4158    
      1270   1240.5965     -2776.4855      137.10753     -2639.3779     -1944.6897    
      1280   1241.6377     -2777.6118      137.2226      -2640.3891     -2524.741     
      1290   1232.9359     -2777.9037      136.2609      -2641.6428     -2806.7596    
      1300   1215.1605     -2777.3688      134.29641     -2643.0724     -2831.5009    
      1310   1191.9978     -2776.2786      131.73653     -2644.5421     -2638.1017    
      1320   1168.2362     -2774.9571      129.11046     -2645.8466     -2444.9291    
      1330   1147.7219     -2773.8743      126.84327     -2647.031      -2218.383     
      1340   1131.9308     -2773.046       125.09808     -2647.9479     -2196.8604    
      1350   1121.809      -2772.5954      123.97945     -2648.616      -2252.8139    
      1360   1118.92       -2772.7722      123.66016     -2649.1121     -2406.8158    
      1370   1121.436      -2773.3299      123.93822     -2649.3917     -2664.6951    
      1380   1125.5885     -2773.9601      124.39714     -2649.563      -2786.6121    
      1390   1131.198      -2774.6235      125.01709     -2649.6064     -2810.3559    
      1400   1138.2243     -2775.347       125.79362     -2649.5534     -2837.0084    
      1410   1147.1795     -2776.1876      126.78333     -2649.4043     -2961.9684    
      1420   1156.2301     -2777.0052      127.78357     -2649.2217     -3131.7248    
      1430   1162.5708     -2777.5074      128.48433     -2649.023      -3332.7187    
      1440   1166.3651     -2777.7071      128.90367     -2648.8034     -3388.7436    
      1450   1168.9336     -2777.7222      129.18754     -2648.5347     -3374.8374    
      1460   1171.5787     -2777.7794      129.47986     -2648.2995     -3257.1996    
      1470   1174.3743     -2777.8595      129.78882     -2648.0707     -3151.9088    
      1480   1175.7115     -2777.831       129.93661     -2647.8944     -3062.9948    
      1490   1174.9974     -2777.5127      129.85769     -2647.655      -2939.9922    
      1500   1175.1691     -2777.2493      129.87666     -2647.3726     -2811.6786    
      1510   1178.4604     -2777.3427      130.24041     -2647.1023     -2700.1916    
      1520   1185.1793     -2777.8357      130.98296     -2646.8528     -2588.2634    
      1530   1194.7439     -2778.664       132.04002     -2646.6239     -2450.7358    
      1540   1204.3413     -2779.5654      133.10069     -2646.4647     -2300.7386    
      1550   1209.4239     -2779.9265      133.66242     -2646.2641     -2142.3011    
      1560   1207.4197     -2779.6209      133.44092     -2646.18       -2020.7769    
      1570   1199.103      -2778.6916      132.52178     -2646.1698     -1730.6969    
      1580   1187.8295     -2777.5183      131.27586     -2646.2425     -1422.5402    
      1590   1178.2815     -2776.5762      130.22063     -2646.3556     -1074.6934    
      1600   1175.5003     -2776.3537      129.91327     -2646.4404     -866.58937    
      1610   1179.348      -2777.0008      130.3385      -2646.6623     -708.13258    
      1620   1185.5692     -2777.8929      131.02605     -2646.8669     -610.78661    
      1630   1186.9188     -2778.2881      131.1752      -2647.1129     -496.68589    
      1640   1179.6864     -2777.842       130.3759      -2647.4661     -366.24427    
      1650   1166.2792     -2776.7741      128.89418     -2647.8799     -348.91019    
      1660   1150.4811     -2775.4965      127.14821     -2648.3482     -536.02171    
      1670   1137.294      -2774.5793      125.69081     -2648.8885     -895.60889    
      1680   1132.985      -2774.4823      125.21458     -2649.2677     -1472.0474    
      1690   1139.8213     -2775.6245      125.97011     -2649.6544     -2292.5595    
      1700   1155.2908     -2777.7144      127.67976     -2650.0347     -3297.191     
      1710   1173.4923     -2780.1019      129.69134     -2650.4106     -4249.2499    
      1720   1187.8924     -2782.015       131.28281     -2650.7322     -4878.4306    
      1730   1193.9136     -2783.1768      131.94825     -2651.2285     -5174.6122    
      1740   1189.2201     -2783.2781      131.42955     -2651.8486     -5091.8801    
      1750   1174.7847     -2782.4324      129.83417     -2652.5982     -4695.9395    
      1760   1155.7319     -2781.1004      127.72852     -2653.3719     -4188.1949    
      1770   1139.8216     -2780.1079      125.97014     -2654.1378     -3760.5811    
      1780   1133.5434     -2780.068       125.27629     -2654.7917     -3605.8619    
      1790   1137.3728     -2781.1375      125.69951     -2655.438      -3675.6077    
      1800   1146.1032     -2782.6244      126.66437     -2655.9601     -3845.4282    
      1810   1154.4307     -2784.0297      127.58471     -2656.445      -4091.0341    
      1820   1159.3239     -2784.988       128.1255      -2656.8625     -4297.6213    
      1830   1161.058      -2785.6293      128.31714     -2657.3121     -4511.2739    
      1840   1160.84       -2786.0869      128.29304     -2657.7939     -4820.61      
      1850   1158.9506     -2786.2807      128.08423     -2658.1964     -5069.7579    
      1860   1154.5612     -2786.2307      127.59913     -2658.6316     -5286.6088    
      1870   1146.9842     -2785.7878      126.76174     -2659.026      -5404.2274    
      1880   1137.5716     -2785.109       125.72148     -2659.3875     -5368.1838    
      1890   1128.6733     -2784.394       124.73807     -2659.656      -5180.9361    
      1900   1121.1436     -2783.6854      123.9059      -2659.7795     -4994.0718    
      1910   1115.3893     -2783.1018      123.26996     -2659.8318     -4738.1129    
      1920   1111.6485     -2782.6518      122.85653     -2659.7953     -4485.818     
      1930   1112.4651     -2782.5627      122.94678     -2659.6159     -4392.3141    
      1940   1117.7731     -2782.7995      123.53341     -2659.266      -4378.2882    
      1950   1125.1126     -2783.1179      124.34455     -2658.7734     -4468.2535    
      1960   1131.6325     -2783.1482      125.0651      -2658.0831     -4552.034     
      1970   1137.411      -2782.9404      125.70373     -2657.2367     -4535.2838    
      1980   1145.0036     -2782.7792      126.54285     -2656.2364     -4443.8119    
      1990   1156.0841     -2782.8283      127.76743     -2655.0609     -4326.8095    
      2000   1169.528      -2783.0287      129.25322     -2653.7755     -4144.2173    
      2010   1180.2677     -2782.9946      130.44015     -2652.5544     -3874.5858    
      2020   1183.8598     -2782.1307      130.83713     -2651.2936     -3429.9096    
      2030   1180.2887     -2780.7272      130.44247     -2650.2847     -2879.7167    
      2040   1171.7739     -2778.9288      129.50143     -2649.4274     -2297.0733    
      2050   1163.276      -2777.2565      128.56227     -2648.6942     -1737.0474    
      2060   1159.9222     -2776.27        128.19162     -2648.0784     -1461.5463    
      2070   1163.9946     -2776.2186      128.64169     -2647.5769     -1500.6254    
      2080   1173.7482     -2776.9311      129.71963     -2647.2115     -1805.1201    
      2090   1185.8794     -2777.9393      131.06034     -2646.879      -2246.9753    
      2100   1195.9059     -2778.7474      132.16844     -2646.5789     -2745.8497    
      2110   1201.1787     -2779.1065      132.75118     -2646.3553     -3146.5312    
      2120   1201.0895     -2779.0017      132.74131     -2646.2604     -3308.8179    
      2130   1195.1648     -2778.3063      132.08654     -2646.2198     -3165.8893    
      2140   1183.4404     -2777.0384      130.79079     -2646.2477     -2707.4777    
      2150   1167.7771     -2775.3844      129.05972     -2646.3247     -2110.9425    
      2160   1151.5418     -2773.5371      127.26544     -2646.2717     -1536.9977    
      2170   1139.2692     -2772.192       125.9091      -2646.2829     -1011.9009    
      2180   1133.8641     -2771.4964      125.31174     -2646.1847     -632.55663    
      2190   1134.6489     -2771.4006      125.39847     -2646.0021     -346.76408    
      2200   1139.897      -2771.7047      125.97848     -2645.7262     -164.7391     
      2210   1149.4098     -2772.4191      127.02981     -2645.3893     -69.929939    
      2220   1163.1529     -2773.554       128.54866     -2645.0053     -72.253184    
      2230   1182.0438     -2775.2109      130.63643     -2644.5745     -267.8769     
      2240   1205.2167     -2777.3688      133.19745     -2644.1713     -648.43879    
      2250   1228.1978     -2779.5421      135.73726     -2643.8049     -1088.5201    
      2260   1246.1588     -2781.3312      137.72226     -2643.6089     -1410.0564    
      2270   1255.9929     -2782.3167      138.8091      -2643.5076     -1676.5638    
      2280   1253.3446     -2782.1476      138.51642     -2643.6312     -1614.4755    
      2290   1238.4728     -2780.8019      136.87283     -2643.929      -1460.2617    
      2300   1215.1726     -2778.7217      134.29775     -2644.424      -1159.6899    
      2310   1188.977      -2776.3936      131.40267     -2644.9909     -846.87513    
      2320   1165.9826     -2774.519       128.86139     -2645.6576     -568.21931    
      2330   1149.7088     -2773.3863      127.06285     -2646.3235     -530.27487    
      2340   1140.2112     -2772.9826      126.01321     -2646.9694     -739.01441    
      2350   1137.6074     -2773.2786      125.72544     -2647.5532     -1192.239     
      2360   1142.223      -2774.2975      126.23554     -2648.0619     -1851.0808    
      2370   1151.2948     -2775.9129      127.23814     -2648.6747     -2657.8218    
      2380   1160.0467     -2777.3037      128.20537     -2649.0984     -3390.7607    
      2390   1164.909      -2778.2519      128.74274     -2649.5092     -3936.4988    
