# time	pe	ke	etotal	vol	press	temp
0	-42.853936762284519091	2.2575284324249991208	-40.596408329859521302	18247.743423588701262	132.1426954391730817	34.999999999999985789
0.10000000000000000555	-41.476541806944752011	1.0859919747888151509	-40.39054983215593353	18247.743423588701262	689.35455516777017237	16.836872825906830542
0.2000000000000000111	-40.920964312715213396	0.81048785010021595632	-40.110476462614997217	18247.743423588701262	902.98524037975573719	12.565544843674951281
0.2999999999999999889	-41.24384425134483223	1.6020186673721437121	-39.641825583972689628	18247.743423588701262	791.87789442313044219	24.837185903255644348
0.4000000000000000222	-40.853983117728951413	1.7467266062033657281	-39.107256511525584131	18247.743423588701262	999.05798194319743288	27.080691582452015354
0.5	-40.938345727739644531	2.3674615650494055252	-38.570884162690241226	18247.743423588701262	987.23549984701480753	36.704368187168782356
0.5999999999999999778	-40.259412506150852096	2.0129353755395928971	-38.246477130611260975	18247.743423588701262	1270.0535746847297105	31.20790734325616711
0.70000000000000006661	-40.23886627175772901	2.4155198525123591224	-37.823346419245368111	18247.743423588701262	1302.4288638626385364	37.449448531249572625
0.80000000000000004441	-40.297392190441968296	2.5056173131970589374	-37.791774877244911579	18247.743423588701262	1275.6567280008916896	38.846290794085284404
0.9000000000000000222	-40.369592702442361087	2.2325864771482932802	-38.137006225294065587	18247.743423588701262	1235.2221360036592159	34.613307889218027924
1	-40.597216688841001542	2.2103018525773836522	-38.386914836263620998	18247.743423588701262	1123.6474362587734959	34.267814185227770452
1.1000000000000000888	-40.635549621951597032	2.130443988369560504	-38.50510563358203342	18247.743423588701262	1105.6905065792436744	33.029723356723145855
1.1999999999999999556	-40.674991327676814024	2.2610436251623236004	-38.413947702514491311	18247.743423588701262	1099.127761623482229	35.054498425817904206
1.3000000000000000444	-40.656150091357275755	2.3402415547239128202	-38.3159085366333656	18247.743423588701262	1112.0112592915374989	36.282357838280788087
1.4000000000000001332	-40.543289307245643727	2.210372644490039562	-38.332916662755607717	18247.743423588701262	1156.7804542852929899	34.268911720438119062
1.5	-40.552337545894062032	2.2585797600551127395	-38.293757785838948848	18247.743423588701262	1152.909492863054993	35.016299447894176922
1.6000000000000000888	-40.419787648783334078	2.1940065822790022487	-38.225781066504332273	18247.743423588701262	1201.5191217603148743	34.015177517511162364
1.6999999999999999556	-40.352324717476960814	2.2735612807757497045	-38.078763436701208889	18247.743423588701262	1238.6060099104831806	35.248568161630394968
1.8000000000000000444	-40.369024050519200841	2.3920008797277203527	-37.977023170791483153	18247.743423588701262	1247.505100238331579	37.084817886674201759
1.9000000000000001332	-40.609453592119265863	2.4594469078844705123	-38.150006684234796239	18247.743423588701262	1144.128658027578922	38.130479572073447514
2	-40.714066405884466349	2.2050236576779096431	-38.509042748206553597	18247.743423588701262	1079.4528787734072921	34.185982736804703563
2.1000000000000000888	-40.583500294335891567	2.0033484333179734094	-38.58015186101791727	18247.743423588701262	1120.1706361128774461	31.059274452109701059
2.2000000000000001776	-40.569846828184161325	2.2547501001155678679	-38.315096728068596121	18247.743423588701262	1138.7360679292360146	34.956925622980669743
2.3000000000000002665	-40.297640183727267527	2.2150724419221070605	-38.082567741805164019	18247.743423588701262	1266.6152689179455137	34.34177587920562047
2.3999999999999999112	-40.370957386322217531	2.4640565892254659985	-37.906900797096753308	18247.743423588701262	1246.1281815914092022	38.201946599738541011
2.5	-40.417274012760159962	2.3372384075772600909	-38.080035605182899872	18247.743423588701262	1216.5214493576750101	36.235798003807325074
2.6000000000000000888	-40.5782963810204933	2.258577742802036159	-38.319718638218454032	18247.743423588701262	1141.8420091053139913	35.016268173046576351
2.7000000000000001776	-40.692678737928410726	2.211366221004376964	-38.481312516924035094	18247.743423588701262	1087.8078047306487406	34.284315813472929335
