# pair
86.846	0.396	86.828	-0.221	-5.666	6.248	-6.0323	1.474       1.544      1.392      -13.521      1.621      -3.315      -6.0760	1540.84042089348236  -371399.62938837398542
86.845	0.391	86.835	-2.019	-3.490	5.893	-6.0351	1.461       1.545      1.389      -12.651      0.214      -1.973      -6.0918	1538.6716447233632152  -371399.15613289718749
86.842	0.389	86.840	-4.028	-1.681	4.997	-6.0391	1.449       1.544      1.388      -11.541      -1.000      -0.603      -6.0847	1536.9285899497710943  -371398.74002790381201
86.837	0.388	86.845	-5.713	-0.209	3.552	-6.0359	1.438       1.543      1.388      -10.247      -1.963      0.753      -6.0593	1535.5487091137852076  -371397.97760421002749
86.831	0.389	86.847	-6.788	1.244	1.785	-6.0263	1.428       1.540      1.389      -8.825      -2.635      2.057      -6.0301	1534.6603237337981227  -371397.5122637010063
86.824	0.391	86.848	-7.527	2.839	-0.125	-6.0215	1.420       1.537      1.392      -7.328      -3.016      3.277      -6.0078	1534.5762711700519958  -371396.95786547253374
86.816	0.394	86.847	-8.042	4.462	-2.049	-6.0239	1.414       1.534      1.396      -5.801      -3.140      4.385      -5.9970	1535.2080403751356243  -371396.1274021222489
86.808	0.399	86.844	-8.391	5.953	-3.888	-6.0321	1.409       1.531      1.401      -4.292      -3.063      5.354      -5.9996	1536.3271340114156374  -371395.37403411621926
86.799	0.406	86.839	-8.620	7.167	-5.553	-6.0424	1.405       1.528      1.406      -2.843      -2.843      6.165      -6.0181	1537.8260576864913673  -371395.17725307412911
86.790	0.414	86.833	-8.750	7.958	-6.940	-6.0495	1.403       1.525      1.413      -1.493      -2.543      6.806      -6.0525	1539.437637179367357  -371394.01154204667546
86.781	0.422	86.825	-8.775	8.170	-7.919	-6.0476	1.402       1.523      1.420      -0.279      -2.216      7.266      -6.0956	1541.3942178958434397  -371393.21925511094742
86.773	0.430	86.817	-8.635	7.671	-8.326	-6.0318	1.402       1.521      1.428      0.768      -1.900      7.535      -6.1327	1543.7254754893788231  -371392.90862000593916
86.764	0.437	86.809	-7.685	6.201	-8.016	-5.9967	1.404       1.519      1.435      1.622      -1.600      7.606      -6.1480	1545.8705703977689154  -371392.16418917523697
86.757	0.443	86.801	-5.599	3.776	-7.181	-5.9545	1.406       1.518      1.443      2.272      -1.306      7.474      -6.1432	1547.5088558359918807  -371391.23070873849792
86.753	0.445	86.794	-2.906	0.805	-6.173	-5.9300	1.408       1.517      1.450      2.723      -1.022      7.142      -6.1362	1548.8265096445043127  -371390.32778260280611
86.752	0.444	86.789	-0.072	-2.340	-5.108	-5.9343	1.411       1.516      1.457      2.993      -0.778      6.623      -6.1299	1549.5420249247817992  -371390.2883471630048
86.753	0.440	86.784	2.248	-5.304	-3.778	-5.9602	1.414       1.515      1.463      3.111      -0.606      5.941      -6.1242	1548.6719724207466697  -371389.52122240047902
86.756	0.434	86.781	3.543	-7.768	-2.059	-5.9915	1.417       1.515      1.469      3.104      -0.539      5.130      -6.1179	1546.2649906377866955  -371387.88204300415237
86.760	0.425	86.780	3.750	-9.484	-0.150	-6.0143	1.420       1.514      1.474      2.997      -0.610      4.222      -6.1105	1543.4956131194423961  -371386.72574119875208
86.764	0.415	86.781	3.038	-10.435	1.776	-6.0219	1.423       1.513      1.477      2.814      -0.846      3.247      -6.1019	1541.2711726027125678  -371385.90410595521098
86.766	0.404	86.784	1.920	-10.942	3.568	-6.0201	1.426       1.512      1.480      2.577      -1.273      2.227      -6.0940	1540.0674818921543192  -371384.73542920523323
86.767	0.393	86.788	0.860	-11.256	5.052	-6.0113	1.428       1.511      1.482      2.300      -1.910      1.181      -6.0869	1540.0927387548285878  -371384.09022516809637
86.768	0.381	86.794	0.176	-11.476	5.900	-5.9941	1.431       1.509      1.482      1.997      -2.761      0.128      -6.0791	1541.1780426654509029  -371383.4239078250248
86.768	0.370	86.800	0.033	-11.705	5.751	-5.9636	1.432       1.505      1.482      1.681      -3.813      -0.911      -6.0655	1542.7858712654212923  -371382.82663938350743
86.768	0.358	86.805	0.137	-11.676	4.555	-5.9227	1.434       1.501      1.481      1.369      -5.041      -1.909      -6.0492	1544.4075286899392268  -371381.92871002323227
86.768	0.346	86.809	0.233	-11.143	2.581	-5.8791	1.435       1.495      1.478      1.056      -6.400      -2.840      -6.0374	1546.0073241503919235  -371381.01666023465805
86.768	0.336	86.810	0.345	-10.206	0.178	-5.8405	1.436       1.488      1.475      0.722      -7.835      -3.682      -6.0363	1547.5854659253557202  -371380.03848279447993
