LJ_3n				
N	4000	R	1	30
151	2.087771943	209766226.1	1178941382	
152	2.095023756	201216763.7	1127064707	
153	2.102275569	193043501.3	1077638004	
154	2.109527382	185228672	1030537722	
155	2.116779195	177755405.2	985646934.6	
156	2.124031008	170607678	942854962.2	
157	2.131282821	163770270.2	902057019.7	
158	2.138534634	157228721.4	863153883.3	
159	2.145786447	150969290.9	826051578.7	
160	2.15303826	144978919.4	790661086.3	
161	2.160290073	139245193	756898065.1	
162	2.167541885	133756309.9	724682591.7	
163	2.174793698	128501047.3	693938916	
164	2.182045511	123468732	664595229.8	
165	2.189297324	118649211.7	636583449.8	
166	2.196549137	114032827.6	609839013.1	
167	2.20380095	109610389.2	584300684	
168	2.211052763	105373149.9	559910372.9	
169	2.218304576	101312784.6	536612964.9	
170	2.225556389	97421367.76	514356158.4	
171	2.232808202	93691353.11	493090313	
172	2.240060015	90115554.39	472768306.2	
173	2.247311828	86687127.06	453345398.2	
174	2.254563641	83399551.03	434779104	
175	2.261815454	80246614.29	417029073.4	
176	2.269067267	77222397.46	400056977	
177	2.27631908	74321259.09	383826399.4	
178	2.283570893	71537821.83	368302737.8	
179	2.290822706	68866959.27	353453106.2	
180	2.298074519	66303783.45	339246245.6	
181	2.305326332	63843633.14	325652438.5	
182	2.312578145	61482062.56	312643428.3	
183	2.319829957	59214830.9	300192343.5	
184	2.32708177	57037892.18	288273625.5	
185	2.334333583	54947385.77	276862960.8	
186	2.341585396	52939627.36	265937217	
187	2.348837209	51011100.4	255474381.2	
188	2.356089022	49158447.98	245453503.7	
189	2.363340835	47378465.08	235854642.8	
190	2.370592648	45668091.33	226658813.8	
191	2.377844461	44024404	217847940	
192	2.385096274	42444611.49	209404807.3	
193	2.392348087	40926047	201313020	
194	2.3995999	39466162.63	193556959.8	
195	2.406851713	38062523.76	186121746.8	
196	2.414103526	36712803.67	178993202.7	
197	2.421355339	35414778.44	172157815.2	
198	2.428607152	34166322.17	165602705.4	
199	2.435858965	32965402.32	159315596	
200	2.443110778	31810075.42	153284781.9	
201	2.450362591	30698482.85	147499101.6	
202	2.457614404	29628846.96	141947910.4	
203	2.464866217	28599467.26	136621055.4	
204	2.47211803	27608716.92	131508851.4	
205	2.479369842	26655039.33	126602057.6	
206	2.486621655	25736944.89	121891856.5	
207	2.493873468	24853007.95	117369833.2	
208	2.501125281	24001863.87	113027955.9	
209	2.508377094	23182206.28	108858557.3	
210	2.515628907	22392784.38	104854317.3	
211	2.52288072	21632400.48	101008246.2	
212	2.530132533	20899907.58	97313669.02	
213	2.537384346	20194207.05	93764210.35	
